,Species Key,Taxon Key,GBIF Species Name,Source
1337,1737995,1737995,Hendecaneura shawiana,Quebec_Pohl2018
1338,8086347,8086347,Rhopobota naevana,Quebec_Pohl2018
1339,1739034,1739034,Rhopobota dietziana,Quebec_Pohl2018
1340,1739035,1739035,Rhopobota finitimana,Quebec_Pohl2018
1341,1745606,1745606,Epinotia radicana,Quebec_Pohl2018
1342,1745724,1745724,Epinotia trigonella,Quebec_Pohl2018
1343,1745797,10066060,Epinotia myricana,Quebec_Pohl2018
1344,1745558,1745558,Epinotia solandriana,Quebec_Pohl2018
1345,1745682,1745670,Epinotia pulsatillana,Quebec_Pohl2018
1346,1745669,1745669,Epinotia medioviridana,Quebec_Pohl2018
1347,1745562,1745562,Epinotia castaneana,Quebec_Pohl2018
1348,1745799,1745799,Epinotia celtisana,Quebec_Pohl2018
1349,1745747,1745747,Epinotia madderana,Quebec_Pohl2018
1350,1745601,1745601,Epinotia sotipena,Quebec_Pohl2018
1351,1745573,1745573,Epinotia vertumnana,Quebec_Pohl2018
1352,1745743,1745743,Epinotia zandana,Quebec_Pohl2018
1353,1745831,10354186,Epinotia xandana,Quebec_Pohl2018
1354,1745823,1745823,Epinotia rectiplicana,Quebec_Pohl2018
1355,1745734,1745734,Epinotia corylana,Quebec_Pohl2018
1356,1745675,1745675,Epinotia solicitana,Quebec_Pohl2018
1357,1745634,1745634,Epinotia nisella,Quebec_Pohl2018
1358,1745634,1745756,Epinotia nisella,Quebec_Pohl2018
1359,1745559,1745559,Epinotia walkerana,Quebec_Pohl2018
1360,1745746,1745746,Epinotia transmissana,Quebec_Pohl2018
1361,1745812,9969766,Epinotia removana,Quebec_Pohl2018
1362,1745560,1745560,Epinotia momonana,Quebec_Pohl2018
1363,1745672,1745672,Epinotia huroniensis,Quebec_Pohl2018
1364,1745647,1745647,Epinotia columbia,Quebec_Pohl2018
1365,1745729,1745729,Epinotia nonana,Quebec_Pohl2018
1366,1745707,1745707,Epinotia normanana,Quebec_Pohl2018
1367,NA,NA,NA,Quebec_Pohl2018
1368,1745787,1745787,Epinotia nanana,Quebec_Pohl2018
1369,1745791,1745791,Epinotia lomonana,Quebec_Pohl2018
